date,CRBN,DMXF,DSI,EAGG,EMXF,ERET,ESGD,ESGE,ESGU,EUSB,HYXF,LCTD,LDEM,PABU,SUSA,SUSB,SUSC,SUSL,USXF,ACWI,AGG,IEFA,IEMG,IVV
2019-02-28,0.026135299373563514,,0.0344644079427614,-0.003612486549443572,,,0.024452411147934505,0.001220087975420947,0.0331924772457135,,0.011264765148883527,,,,0.043348106073409554,0.0013288831726701034,-0.0004362405937805569,,,0.026602745545554862,-0.003090428207424112,0.02483863120880736,0.0026585821734446125,0.03209320800208837
2019-03-31,0.013434810016377474,,0.0140095465448844,0.016189664421226935,,,0.006408298352535313,0.006528898351742196,0.016876748048637147,,0.003399871556711176,,,,0.018816285964833313,0.00834701464839549,0.02201275765636268,,,0.01270806464532459,0.016622989462584004,0.006053700685031194,0.008250121101648578,0.015434386660099886
2019-04-30,0.034756807035531745,,0.040328482310984626,-0.0025614610962757522,,,0.030725368762245964,0.02080909924445451,0.0413683872851065,,0.007575505335166488,,,,0.03256364901015396,0.0014587112816781822,0.0031078379100517584,,,0.03389278220396741,-0.0021066940015181945,0.028889899263569552,0.018933004103384166,0.04045206294842818
2019-05-31,-0.058044884050705736,,-0.06320834624439442,0.015096638760539793,,,-0.04818746995462886,-0.06711444550529355,-0.06501976659586806,,-0.014771186209602716,,,,-0.07024307331682034,0.004968281657312668,0.01168680134801181,,,-0.05949782822262317,0.01519780153244299,-0.048286822904920035,-0.0703949575324625,-0.06357655005369722
2019-06-30,0.05480652991972956,,0.06369603155348846,0.010537791690070408,,,0.04028827214222863,0.050315864918226705,0.0665971177376421,,0.02112320687368552,,,,0.07305946413217468,0.0072912134969962406,0.021170356622117747,0.06257617271237392,,0.05209497282854203,0.01008025482829078,0.0364939806673128,0.050169766996815524,0.06390595839320423
2019-07-31,0.004493881466461902,,0.019873504978799028,-0.000162568566840271,,,-0.012224112548548494,-0.009383868664541217,0.015457551679477044,,0.004007025642019935,,,,0.01743099738246978,-0.0016100452004579324,0.0031203873619669587,0.01878750640297211,,0.003104289452115161,6.591398438704488e-05,-0.0117952885386996,-0.012278207691966414,0.014362935037814717
2019-08-31,-0.022719285069836226,,-0.017408450403214593,0.023151710914425028,,,-0.022888573361294795,-0.047674032284123924,-0.019239420978196975,,0.003766618074360073,,,,-0.0232287686116871,0.008181641331950207,0.028128861028958285,-0.010247119533340565,,-0.02323809532568233,0.0234728268702058,-0.0256408367075317,-0.048966282503691616,-0.01587305634962788
2019-09-30,0.021482276865468997,,0.011582875963527695,-0.007790379640956302,,,0.03166541161614722,0.017152302053007995,0.016899952385720285,,-0.0016182014460932592,,,,0.02025060585439209,-0.002229728693736388,-0.00878266718488252,0.012780105941803122,,0.020949677720005555,-0.007676830060266426,0.028767652677135658,0.019202051600973213,0.013628160125012334
2019-10-31,0.02825527080559853,,0.02049167871262836,0.0007823274394793689,,,0.038333891812098786,0.04265563271634765,0.02424567530700794,,0.0026526466796421566,,,,0.018302511713277347,0.0027266514218482474,0.0035942638134698335,0.018356853699749154,,0.02731587536536817,0.0006016469518503875,0.03719771398605487,0.041706764299995536,0.021613556492474872
2019-11-30,0.023913910182575604,,0.036464560938553436,-0.0027256775505314357,,,0.009682948897950405,-0.00017374978170880961,0.03815733401822374,,6.909511417263481e-05,,,,0.037372829731036505,-0.001968067433934295,6.038456220780475e-05,0.03637486069171625,,0.024231348426156485,-0.002786846038642099,0.012859277926009716,-0.002313394560940707,0.03625577606988406
