period,ticker,type,region,avg_monthly_flow_M,total_flow_M,avg_ogr_pct,outflow_months,total_months,outflow_rate_pct,beta_all,beta_negative,beta_positive,r_squared,p_value
Rate Hike,AGG,Conventional,Fixed Income,345.399283100001,4144.791397200012,0.4430193782229251,5,12,41.66666666666667,0.263,0.128,0.418,0.0644,0.0206
Rate Hike,IEFA,Conventional,Developed exUS,268.8499115000038,3226.198938000046,0.26092410161668567,2,12,16.666666666666664,-0.011,0.028,-0.106,0.002,0.6883
Rate Hike,IEMG,Conventional,Emerging,325.9743294000003,3911.691952800003,0.4878015128140168,2,12,16.666666666666664,0.084,0.184,0.054,0.0556,0.0319
Rate Hike,IVV,Conventional,US,1807.8605761166637,21694.326913399964,0.6363389261698972,2,12,16.666666666666664,0.025,0.186,-0.063,0.0057,0.4984
Rebound,CRBN,ESG,Global,-10.46820172083331,-125.61842064999973,-1.1836699151180727,5,12,41.66666666666667,-0.037,0.257,0.265,0.0015,0.7296
Rebound,DMXF,ESG,Developed exUS,7.553134075000008,90.63760890000009,1.6684702537969918,1,12,8.333333333333332,-0.361,2.119,-0.206,0.0073,0.4945
Rebound,DSI,ESG,US,-32.32841822916659,-387.94101874999905,-0.9107747608312495,9,12,75.0,0.011,0.167,0.011,0.0007,0.809
Rebound,EAGG,ESG,Fixed Income,104.20702869999997,1250.4843443999996,3.7937015376115406,0,12,0.0,0.397,2.14,-0.143,0.005,0.5263
Rebound,EMXF,ESG,Emerging,2.044865908333333,24.5383909,3.924517104455174,2,12,16.666666666666664,-0.303,0.042,-0.235,0.0119,0.3992
Rebound,ERET,ESG,US,-7.761021455128987e-17,-9.313225746154785e-16,-7.754784592572618e-16,1,12,8.333333333333332,0.0,-0.0,0.0,0.0052,0.6724
Rebound,ESGD,ESG,Developed exUS,-4.5010264583334925,-54.012317500001906,-0.06758900291375229,5,12,41.66666666666667,0.024,-0.258,-0.038,0.0007,0.8137
Rebound,ESGE,ESG,Emerging,8.171129491666674,98.0535539000001,0.23887372246129102,4,12,33.33333333333333,-0.097,-0.611,0.579,0.0009,0.7861
Rebound,ESGU,ESG,US,-795.5533890583331,-9546.640668699996,-4.552282627939816,10,12,83.33333333333334,0.306,-0.554,-0.98,0.0018,0.7048
Rebound,EUSB,ESG,Fixed Income,-17.855302725000023,-214.26363270000027,-2.272297560979472,4,12,33.33333333333333,-1.098,6.083,-2.859,0.0061,0.5341
Rebound,HYXF,ESG,Fixed Income,-0.3468049166666667,-4.161659,-0.2792882054675932,6,12,50.0,-1.575,-2.635,-1.991,0.0873,0.0067
Rebound,LCTD,ESG,US,-4.657381331250002,-55.88857597500002,-0.7779178083576302,2,12,16.666666666666664,-0.013,-0.631,-0.052,0.0001,0.9504
Rebound,LDEM,ESG,Emerging,-0.5448818999999985,-6.538582799999982,-0.9171224541354469,5,12,41.66666666666667,0.17,-0.538,0.188,0.0056,0.5376
Rebound,PABU,ESG,Developed exUS,31.69327557500002,380.31930690000024,3.3367456659234342,6,12,50.0,-0.497,-1.28,-0.626,0.0974,0.0347
Rebound,SUSA,ESG,US,104.7653705708334,1257.1844468500008,2.6868528877811886,6,12,50.0,0.094,0.295,0.78,0.0058,0.4934
Rebound,SUSB,ESG,Fixed Income,-9.404129570833316,-112.84955484999979,-1.0263705692076521,10,12,83.33333333333334,1.623,3.578,-0.94,0.0463,0.0507
Rebound,SUSC,ESG,Fixed Income,29.504177883333295,354.0501345999995,3.5566008850356234,1,12,8.333333333333332,2.05,1.343,5.025,0.0933,0.005
Rebound,SUSL,ESG,US,-195.8671023166667,-2350.4052278000004,-6.338940511611664,6,12,50.0,-0.129,0.101,-0.354,0.0045,0.557
Rebound,USXF,ESG,US,2.9101573374999963,34.92188804999995,0.45487154052487755,1,12,8.333333333333332,-0.67,4.561,0.356,0.0059,0.5384
Rebound,ACWI,Conventional,Global,-202.2903663666668,-2427.4843964000015,-1.084041160282432,5,12,41.66666666666667,-0.129,-0.849,0.172,0.023,0.1716
Rebound,AGG,Conventional,Fixed Income,1402.478491308333,16829.741895699997,1.5651732054481744,1,12,8.333333333333332,0.263,0.128,0.418,0.0644,0.0206
Rebound,IEFA,Conventional,Developed exUS,429.1206665999997,5149.447999199997,0.43901369680852703,1,12,8.333333333333332,-0.011,0.028,-0.106,0.002,0.6883
Rebound,IEMG,Conventional,Emerging,524.4221149500002,6293.065379400002,0.7838439254667444,2,12,16.666666666666664,0.084,0.184,0.054,0.0556,0.0319
Rebound,IVV,Conventional,US,3175.26030615418,38103.12367385016,0.911030228506432,4,12,33.33333333333333,0.025,0.186,-0.063,0.0057,0.4984
Anti-ESG,CRBN,ESG,Global,-8.08727492083332,-194.09459809999967,-0.7989474372762038,10,24,41.66666666666667,-0.037,0.257,0.265,0.0015,0.7296
Anti-ESG,DMXF,ESG,Developed exUS,-1.3357615541666645,-32.05827729999995,0.04434104668245263,7,24,29.166666666666668,-0.361,2.119,-0.206,0.0073,0.4945
Anti-ESG,DSI,ESG,US,-23.89634292291667,-573.51223015,-0.5280566557257637,16,24,66.66666666666666,0.011,0.167,0.011,0.0007,0.809
Anti-ESG,EAGG,ESG,Fixed Income,34.45433945000007,826.9041468000016,0.8984156507464517,3,24,12.5,0.397,2.14,-0.143,0.005,0.5263
Anti-ESG,EMXF,ESG,Emerging,0.9993352125000028,23.984045100000067,1.1401963990501085,2,24,8.333333333333332,-0.303,0.042,-0.235,0.0119,0.3992
Anti-ESG,ERET,ESG,US,0.0,0.0,5.2770660094803335e-17,3,24,12.5,0.0,-0.0,0.0,0.0052,0.6724
Anti-ESG,ESGD,ESG,Developed exUS,48.5065155875001,1164.1563741000023,0.5365436863281399,3,24,12.5,0.024,-0.258,-0.038,0.0007,0.8137
Anti-ESG,ESGE,ESG,Emerging,-0.7728063291666308,-18.547351899999143,-0.007019883938368977,8,24,33.33333333333333,-0.097,-0.611,0.579,0.0009,0.7861
Anti-ESG,ESGU,ESG,US,-109.05789659791677,-2617.389518350002,-0.8126119057324674,17,24,70.83333333333334,0.306,-0.554,-0.98,0.0018,0.7048
Anti-ESG,EUSB,ESG,Fixed Income,4.064926541666642,97.55823699999941,0.6812179309973369,4,24,16.666666666666664,-1.098,6.083,-2.859,0.0061,0.5341
Anti-ESG,HYXF,ESG,Fixed Income,2.700867647916664,64.82082354999994,1.8446152065382513,4,24,16.666666666666664,-1.575,-2.635,-1.991,0.0873,0.0067
Anti-ESG,LCTD,ESG,US,-11.313367653125002,-271.5208236750001,-3.3760532885025647,9,24,37.5,-0.013,-0.631,-0.052,0.0001,0.9504
Anti-ESG,LDEM,ESG,Emerging,-0.8347047645833334,-20.032914350000002,-2.216211713817155,6,24,25.0,0.17,-0.538,0.188,0.0056,0.5376
Anti-ESG,PABU,ESG,Developed exUS,1.944347897916625,46.664349549998995,0.28794662985185615,13,24,54.166666666666664,-0.497,-1.28,-0.626,0.0974,0.0347
Anti-ESG,SUSA,ESG,US,-114.43288938333333,-2746.3893451999998,-2.494723153456857,19,24,79.16666666666666,0.094,0.295,0.78,0.0058,0.4934
Anti-ESG,SUSB,ESG,Fixed Income,7.05150709374999,169.23617024999976,0.7448873150973593,7,24,29.166666666666668,1.623,3.578,-0.94,0.0463,0.0507
Anti-ESG,SUSC,ESG,Fixed Income,4.107867660416702,98.58882385000086,0.38943493048909994,6,24,25.0,2.05,1.343,5.025,0.0933,0.005
Anti-ESG,SUSL,ESG,US,-19.23327718333331,-461.5986523999995,-1.8072121737180462,12,24,50.0,-0.129,0.101,-0.354,0.0045,0.557
Anti-ESG,USXF,ESG,US,-0.8902328395833224,-21.365588149999738,0.20788278906543486,7,24,29.166666666666668,-0.67,4.561,0.356,0.0059,0.5384
Anti-ESG,ACWI,Conventional,Global,-24.88724949999984,-597.2939879999961,-0.17363413681096435,9,24,37.5,-0.129,-0.849,0.172,0.023,0.1716
Anti-ESG,AGG,Conventional,Fixed Income,1368.242187000003,32837.812488000076,1.1877294621897148,4,24,16.666666666666664,0.263,0.128,0.418,0.0644,0.0206
Anti-ESG,IEFA,Conventional,Developed exUS,994.9752279833349,23879.405471600036,0.7612596406814429,1,24,4.166666666666666,-0.011,0.028,-0.106,0.002,0.6883
Anti-ESG,IEMG,Conventional,Emerging,796.2641390749983,19110.339337799956,0.8139330208511418,2,24,8.333333333333332,0.084,0.184,0.054,0.0556,0.0319
Anti-ESG,IVV,Conventional,US,6899.774362233345,165594.58469360028,1.2027431360167158,5,24,20.833333333333336,0.025,0.186,-0.063,0.0057,0.4984
