period,ticker,type,region,avg_monthly_ret,annual_ret,volatility,sharpe_proxy,neg_months,neg_month_pct,max_monthly_dd,n_months
Pre-COVID,CRBN,ESG,Global,0.4733905144530281,5.830950179126315,3.832001402000179,0.12353610158021701,4,30.76923076923077,-8.019483837873176,13
Pre-COVID,DSI,ESG,US,0.8868603646362515,11.177084803652182,3.9630004864497193,0.22378507589605454,3,23.076923076923077,-7.468168203989656,13
Pre-COVID,EAGG,ESG,Fixed Income,0.5808990777470528,7.197871149276991,1.094821557402453,0.5305879061472629,6,46.15384615384615,-0.7790379640956302,13
Pre-COVID,ESGD,ESG,Developed exUS,0.10698145898942853,1.2913582312563676,3.822487454070842,0.02798739309804569,5,38.46153846153847,-8.817266430118643,13
Pre-COVID,ESGE,ESG,Emerging,-0.20589102062400244,-2.4429052416132135,4.020764328096847,-0.05120693575230187,6,46.15384615384615,-6.711444550529356,13
Pre-COVID,ESGU,ESG,US,0.9142859288503131,11.540302440819827,4.181748824205941,0.21863721789266574,3,23.076923076923077,-8.15454575468918,13
Pre-COVID,HYXF,ESG,Fixed Income,0.23945174846795847,2.911567176025498,0.9214310315934787,0.2598694207789617,4,30.76923076923077,-1.4771186209602716,13
Pre-COVID,SUSA,ESG,US,0.9332880564260994,11.792599662196924,4.267800869555635,0.2186812564484232,3,23.076923076923077,-7.5394036030362654,13
Pre-COVID,SUSB,ESG,Fixed Income,0.32171082796277595,3.9295763711867826,0.41752494650078803,0.770518817280224,4,30.76923076923077,-0.2229728693736388,13
Pre-COVID,SUSC,ESG,Fixed Income,0.8985731445181965,11.332073218370176,1.153057070069857,0.7792963313288188,3,23.076923076923077,-0.878266718488252,13
Pre-COVID,SUSL,ESG,US,1.05806554999881,13.46234855673545,3.8027135902612406,0.2782396109737317,2,22.22222222222222,-7.573043053618955,9
Pre-COVID,ACWI,Conventional,Global,0.3773874422009801,4.623839909677341,3.826225843739952,0.09863177387148218,4,30.76923076923077,-8.06602933303876,13
Pre-COVID,AGG,Conventional,Fixed Income,0.6197295176003622,7.69554699800854,1.0691611383382171,0.5796408935734415,5,38.46153846153847,-0.7676830060266426,13
Pre-COVID,IEFA,Conventional,Developed exUS,-0.029648369493428226,-0.3552008498588721,3.8270365532560793,-0.007747082914116174,5,38.46153846153847,-9.142915429464626,13
Pre-COVID,IEMG,Conventional,Emerging,-0.3425512402032269,-4.034047110930617,4.072799056818686,-0.08410708100850867,6,46.15384615384615,-7.03949575324625,13
Pre-COVID,IVV,Conventional,US,0.7627592322469747,9.547032531553313,4.0864584748378565,0.1866553243948575,4,30.76923076923077,-8.23494318960244,13
COVID Crisis,CRBN,ESG,Global,2.6227598561154717,36.43452418406774,7.487988790276959,0.35026225727275206,3,30.0,-13.44523262499343,10
COVID Crisis,DMXF,ESG,Developed exUS,3.7440460802479683,55.438351177549514,6.263979210485475,0.5977104895208927,2,33.33333333333333,-3.7334527761148872,6
COVID Crisis,DSI,ESG,US,2.7634118505151704,38.6954385945405,7.644373517075572,0.3614961833487618,3,30.0,-12.727076932724845,10
COVID Crisis,EAGG,ESG,Fixed Income,0.19428293825772158,2.3564695684911596,0.8611359448895333,0.22561238955440913,5,50.0,-0.9286076158696699,10
COVID Crisis,EMXF,ESG,Emerging,8.420164739841784,163.82792031224392,3.080224182600917,2.7336207498805702,0,0.0,6.242117332749886,2
COVID Crisis,ESGD,ESG,Developed exUS,2.0483274514740755,27.547130794475592,7.569142106836754,0.2706155364191067,3,30.0,-13.14752564755356,10
