period,ticker,region,type,n_months,avg_monthly_return,return_std,sharpe_proxy,neg_months,neg_month_pct,max_drawdown_month
Pre_COVID,AGG,Fixed_Income,Conventional,13,0.008234518264864928,0.01179354304877006,0.6982225978073401,5,0.38461538461538464,-0.006089632772907305
Pre_COVID,BGRN,Fixed_Income,ESG,13,0.008455861550767762,0.016227382813053217,0.5210859722842006,4,0.3076923076923077,-0.020754746811503022
Pre_COVID,BNDW,Fixed_Income,Conventional,13,0.00772634323207783,0.01362121369060337,0.5672286925068849,6,0.46153846153846156,-0.014854477157244195
Pre_COVID,DSI,US,ESG,13,0.010073976898452925,0.04005982677607028,0.25147330153885267,3,0.23076923076923078,-0.07436243934118791
Pre_COVID,EAGG,Fixed_Income,ESG,13,0.00823428296059344,0.012180390851503705,0.676027810682027,4,0.3076923076923077,-0.006286451327248477
Pre_COVID,EEM,Emerging,Conventional,13,-0.0017946426295531747,0.039945211218773216,-0.04492760395543331,7,0.5384615384615384,-0.07329827970509228
Pre_COVID,EFA,Developed_exUS,Conventional,13,0.002542655606408206,0.03500625808056135,0.07263431585737293,4,0.3076923076923077,-0.07765268134906145
Pre_COVID,EMSG,Emerging,ESG,13,-0.0007287204365995332,0.03785253093794628,-0.019251564387970897,6,0.46153846153846156,-0.07650156371558126
Pre_COVID,ESGD,Developed_exUS,ESG,13,0.0038564085213431518,0.03450796455545793,0.11175415794650818,4,0.3076923076923077,-0.07163144444574365
Pre_COVID,ESGE,Emerging,ESG,13,-0.0005462625666881647,0.03740574527789887,-0.014603707602396659,6,0.46153846153846156,-0.06522999601526214
Pre_COVID,ESGU,US,ESG,13,0.0103632501651679,0.04197795980129264,0.2468736025815333,3,0.23076923076923078,-0.0798276329876737
Pre_COVID,ESGV,US,ESG,13,0.010747578293779437,0.04084633338404021,0.26312222917856354,3,0.23076923076923078,-0.07624593494906529
Pre_COVID,IVV,US,Conventional,13,0.009108502355127408,0.041582558596957336,0.21904622184056494,3,0.23076923076923078,-0.08455008115913132
Pre_COVID,JUST,US,ESG,13,0.009142331438759626,0.043063159541019407,0.212300526394288,3,0.23076923076923078,-0.08787343749527077
Pre_COVID,NULC,US,ESG,8,0.003866380521479168,0.037368937324704574,0.10346509155140216,2,0.25,-0.08309211524450533
Pre_COVID,SPY,US,Conventional,13,0.009430843283464859,0.04098341047391427,0.23011367708081645,3,0.23076923076923078,-0.07916596821495459
Pre_COVID,SUSA,US,ESG,13,0.010787771355817415,0.04280929945156494,0.2519959797058313,3,0.23076923076923078,-0.07401634235698962
Pre_COVID,SUSL,US,ESG,9,0.012140942439446276,0.03835966394443447,0.31650283633957077,2,0.2222222222222222,-0.0743613080348765
Pre_COVID,VEA,Developed_exUS,Conventional,13,0.00231892594303165,0.036667376049330756,0.06324221127554543,5,0.38461538461538464,-0.07650919730283567
Pre_COVID,VSGX,Developed_exUS,ESG,13,0.003318647986768406,0.03447573571542495,0.09626039641798258,5,0.38461538461538464,-0.06147622706094524
Pre_COVID,VTI,US,Conventional,13,0.008664382320628272,0.04178911750367267,0.20733585292550857,3,0.23076923076923078,-0.07999034515557646
Pre_COVID,VWO,Emerging,Conventional,13,0.0009354998922057772,0.038349386869369985,0.024394129048070118,7,0.5384615384615384,-0.06380997023838708
COVID_Crisis,AGG,Fixed_Income,Conventional,10,0.003602301419829057,0.008844206209632811,0.40730635790757025,5,0.5,-0.008082007320526774
COVID_Crisis,BGRN,Fixed_Income,ESG,10,0.003642068952369426,0.01686202293095744,0.21599240893468682,2,0.2,-0.03806021008916616
COVID_Crisis,BNDW,Fixed_Income,Conventional,10,0.0029224895247871863,0.010072922870830473,0.2901332177624664,3,0.3,-0.017106827167544525
COVID_Crisis,DSI,US,ESG,10,0.028959686567323006,0.07746492771403889,0.3738425558754465,3,0.3,-0.12873492406799814
COVID_Crisis,EAGG,Fixed_Income,ESG,10,0.0034267972369535493,0.007885834018305777,0.43455102263105655,4,0.4,-0.008510240190269802
