Date,AGG,BGRN,BNDW,DSI,EAGG,EEM,EFA,EMSG,ESGD,ESGE,ESGU,ESGV,IVV,JUST,NULC,SPY,SUSA,SUSL,VEA,VSGX,VTI,VWO
2019-01-01,87.34407806396484,41.43416213989258,60.876014709472656,45.92882537841797,42.100425720214844,36.67142868041992,50.722557067871094,22.741052627563477,50.20135498046875,28.73311996459961,53.679866790771484,42.85508346557617,242.1134490966797,35.11941909790039,,242.09593200683594,50.60914611816406,,32.049766540527344,39.68376159667969,124.05546569824219,33.62913131713867
2019-02-01,87.02706909179688,41.49049758911133,60.819637298583984,47.50390625,41.8880500793457,36.109867095947266,52.00922775268555,22.330068588256836,51.416770935058594,28.43777084350586,55.519657135009766,44.285125732421875,249.93280029296875,36.23747634887695,,249.9437713623047,52.78267288208008,,32.79734802246094,40.269290924072266,128.47036743164062,33.50035858154297
2019-03-01,88.87433624267578,42.36128616333008,61.986045837402344,48.15678024291992,42.78136444091797,36.51826477050781,52.4866828918457,22.6663761138916,51.88486099243164,28.74408531188965,56.31719970703125,44.990970611572266,253.7131805419922,36.58031463623047,,253.35179138183594,53.769378662109375,,32.853614807128906,40.269290924072266,129.58973693847656,34.20867156982422
2019-04-01,88.70442962646484,42.55911636352539,61.976314544677734,50.32572555541992,42.772865295410156,37.37762451171875,54.02421951293945,23.315601348876953,53.510887145996094,29.36600685119629,58.9817008972168,47.04670715332031,264.90789794921875,38.441890716552734,,264.86346435546875,55.79766845703125,,33.93116760253906,41.61911392211914,135.40440368652344,35.009742736816406
2019-05-01,90.40013885498047,43.060813903808594,62.95214080810547,47.139678955078125,43.51493835449219,34.637908935546875,51.30521011352539,21.53192138671875,50.80905532836914,27.450462341308594,55.15267562866211,44.10628890991211,248.2224578857422,36.026161193847656,,247.97283935546875,51.85090255737305,43.10886764526367,32.16317367553711,39.43992614746094,126.6709213256836,32.77577209472656
2019-06-01,91.39684295654297,43.95928192138672,63.859012603759766,50.13319396972656,44.105560302734375,36.509769439697266,53.19071578979492,22.545352935791016,52.81283950805664,28.69092559814453,58.690650939941406,47.00994873046875,263.8426513671875,38.35529327392578,20.444997787475586,263.9446716308594,55.60603713989258,45.74577713012695,33.67283248901367,41.20639419555664,135.1343536376953,34.3000373840332
2019-07-01,91.57149505615234,44.58369827270508,64.31822967529297,51.28418731689453,44.183780670166016,35.8107795715332,53.2800178527832,22.385454177856445,52.817909240722656,28.350757598876953,60.068321228027344,48.129844665527344,269.49810791015625,39.209983825683594,20.815446853637695,269.2384338378906,56.852142333984375,46.952144622802734,33.35386276245117,40.951171875,137.552734375,33.91115951538086
2019-08-01,94.1128158569336,45.54891586303711,65.88729858398438,50.373416900634766,45.36260223388672,34.45619201660156,52.25493621826172,21.545654296875,51.997989654541016,27.2109432220459,58.761688232421875,47.28158187866211,265.031005859375,38.50598907470703,20.642061233520508,264.73052978515625,55.509849548339844,46.25028991699219,32.72531509399414,40.209041595458984,134.68795776367188,32.8067741394043
2019-09-01,93.53970336914062,45.245765686035156,65.5019302368164,51.01740264892578,45.098899841308594,35.0391731262207,53.90830993652344,21.809232711791992,53.646202087402344,27.670269012451172,59.73024368286133,47.862464904785156,268.85870361328125,39.04612350463867,21.0109806060791,268.64105224609375,56.627655029296875,46.9147834777832,33.533443450927734,41.09294128417969,136.45921325683594,32.693084716796875
2019-10-01,93.73919677734375,45.00440216064453,65.44239807128906,52.24829864501953,45.19810485839844,36.505218505859375,55.735294342041016,22.691030502319336,55.612327575683594,28.886642456054688,61.36773681640625,49.1833381652832,276.02606201171875,39.97401428222656,21.37990379333496,275.8471984863281,57.92488479614258,47.79935073852539,34.84160614013672,42.89140701293945,139.971435546875,34.41305923461914
2019-11-01,93.7101058959961,44.878517150878906,65.30077362060547,54.19231414794922,45.214813232421875,36.470916748046875,56.36357498168945,22.912525177001953,56.194644927978516,28.98871421813965,63.68972396850586,51.15473556518555,286.0634765625,41.56623840332031,22.18496322631836,285.83245849609375,60.09342575073242,49.70100784301758,35.31001663208008,43.35261154174805,145.27325439453125,34.58573913574219
2019-12-01,93.51068115234375,43.94707489013672,64.33076477050781,55.471397399902344,44.930572509765625,38.468509674072266,57.40519332885742,23.94292449951172,57.51154708862305,30.562341690063477,65.27584838867188,52.35794448852539,292.5621032714844,42.572879791259766,22.65394401550293,292.6983337402344,61.704891204833984,50.86928176879883,36.20570755004883,44.82844924926758,148.54150390625,36.56747055053711
2020-01-01,95.77922821044922,45.81953811645508,66.52787017822266,55.97797393798828,46.09562301635742,36.87344741821289,56.41332244873047,23.249956130981445,56.43832778930664,29.434406280517578,65.99449920654297,52.774009704589844,294.4436340332031,42.85204315185547,22.88066864013672,294.0187072753906,62.14352035522461,51.608211517333984,35.47381591796875,43.82821273803711,149.25564575195312,34.98210525512695
2020-02-01,97.09083557128906,46.155677795410156,67.20865631103516,51.81531524658203,46.79569625854492,35.48116683959961,52.032676696777344,22.3311824798584,52.39556884765625,28.289981842041016,60.726314544677734,48.750205993652344,269.54840087890625,39.08648681640625,20.97946548461914,270.742431640625,57.54388427734375,47.77055740356445,32.759742736816406,41.133819580078125,137.31663513183594,33.74135971069336
2020-03-01,96.58545684814453,44.398983001708984,66.05892944335938,45.144874572753906,46.8309211730957,29.885791778564453,44.692596435546875,19.008113861083984,44.86708068847656,23.729591369628906,52.856266021728516,42.55189895629883,235.3800048828125,34.27131271362305,18.319313049316406,235.5493621826172,50.743839263916016,41.47721481323242,27.671905517578125,34.756813049316406,117.6647720336914,27.93738555908203
2020-04-01,98.23578643798828,45.4975700378418,67.24864959716797,51.28111267089844,47.45992660522461,32.08366012573242,47.29255294799805,20.62771224975586,47.39064407348633,25.498260498046875,60.16580581665039,48.37197494506836,266.8832702636719,38.87629318237305,20.710832595825195,267.021240234375,57.206512451171875,46.93704605102539,29.746585845947266,37.4484977722168,133.77915954589844,30.17531394958496
2020-05-01,98.91065979003906,45.55919647216797,67.67816925048828,54.06868362426758,47.693397521972656,33.038108825683594,49.85907745361328,21.256332397460938,49.931087493896484,26.209192276000977,63.26969909667969,51.214630126953125,279.734375,40.92925262451172,22.05937957763672,279.74359130859375,60.5869026184082,49.26524353027344,31.40565299987793,39.24183654785156,140.9983367919922,31.168094635009766
2020-06-01,99.5821304321289,46.1646614074707,68.0986557006836,55.01496887207031,48.05479049682617,35.01707077026367,50.887359619140625,22.61020278930664,51.12956619262695,27.813133239746094,64.6553726196289,52.55674743652344,283.86834716796875,41.709571838378906,22.54969024658203,283.45733642578125,62.114566802978516,50.03763198852539,32.33940887451172,40.68833923339844,143.58511352539062,33.045188903808594
2020-07-01,100.90294647216797,46.90757751464844,68.8934326171875,57.87006378173828,48.68510055541992,38.12664794921875,52.61021041870117,25.17550277709961,52.78545379638672,30.590627670288086,68.74465942382812,56.02124786376953,301.7326354980469,43.99570083618164,23.538009643554688,301.471435546875,66.13504791259766,52.20671081542969,33.3588752746582,42.75518035888672,152.52279663085938,36.035560607910156
2020-08-01,100.08744812011719,46.653690338134766,68.31414031982422,62.45684814453125,48.27077865600586,39.22755432128906,55.09446334838867,26.057968139648438,55.35060119628906,31.393579483032227,73.88152313232422,60.31474685668945,322.8563537597656,47.26465606689453,25.34531021118164,322.51324462890625,71.2628402709961,56.17049026489258,35.08506393432617,44.645572662353516,163.35934448242188,37.02422332763672
2020-09-01,99.99848937988281,47.068355560302734,68.59331512451172,59.82447814941406,48.205299377441406,38.83122634887695,53.966796875,25.916553497314453,54.09785461425781,31.079383850097656,70.66401672363281,57.817230224609375,309.3169860839844,45.42906188964844,24.54865074157715,309.199462890625,68.50567626953125,53.99830627441406,34.27225875854492,43.93881607055664,156.9366455078125,36.228271484375
