,period,ticker,type,avg_monthly_flow_M,avg_ogr_pct,outflow_rate_pct,avg_monthly_return_pct,volatility_pct,n_months
0,Pre-COVID,ESGU,ESG,262.9981797192308,38.85636066005193,0.0,1.0363250165167879,4.197795980129262,14
1,Pre-COVID,IVV,Conventional,1830.5449249346173,1.0214296295726741,21.428571428571427,0.9108502355127368,4.15825585969573,14
2,COVID Crisis,ESGU,ESG,733.6699805150004,13.819631046777664,10.0,3.0872592147162434,7.912456889175215,10
3,COVID Crisis,IVV,Conventional,-308.15100234500125,-0.1619205053542903,40.0,2.8251642430600623,7.642192836395706,10
4,Recovery,ESGU,ESG,681.8752235791669,3.7751070063060173,25.0,2.056884156221149,3.228871416333999,12
5,Recovery,IVV,Conventional,2390.4822119624964,0.8781798191755686,25.0,2.1885689553857004,3.2996058973118587,12
6,Rate Hike,ESGU,ESG,-39.38749864583429,-0.3105745956269278,41.66666666666667,-1.6561176225818492,6.965385824523527,12
7,Rate Hike,IVV,Conventional,1807.8605761166637,0.6363389261698972,16.666666666666664,-1.451733610231698,6.8359419532203605,12
8,Rebound,ESGU,ESG,-795.5533890583331,-4.552282627939816,83.33333333333334,2.024998339500522,4.422789638778378,12
9,Rebound,IVV,Conventional,3175.26030615418,0.911030228506432,33.33333333333333,2.050307067774739,4.286335678040853,12
10,Anti-ESG,ESGU,ESG,-109.05789659791677,-0.8126119057324674,70.83333333333334,1.6181873367137847,3.174180350812356,24
11,Anti-ESG,IVV,Conventional,6899.774362233345,1.2027431360167158,20.833333333333336,1.6711842310291454,3.04261669365999,24
